Mean,Standard Deviation,Peak-to-Peak Interval,RMS,Entropy,Number of Peaks,Skewness,Kurtosis
2036.9190476190477,252.48080194635378,905.0,2052.507189245573,2.599049288545072,272.0,0.6149087635352071,-0.8523159821005186
2004.3904761904762,54.930847476942745,229.0,2005.1430320671936,2.5447931345011843,275.0,0.5422649715638379,-0.9895123580415888
1981.7857142857142,55.31331352451438,240.0,1982.5574846646944,2.7802303144325906,273.0,0.058723639996959426,-0.934093247757966
2035.307619047619,64.88668980136592,240.0,2036.3416674680766,2.5799427708664946,269.0,0.60281708607389,-0.902085408917658
2021.0033333333333,48.01022201011278,199.0,2021.5735096112396,2.7406409607351314,279.0,0.1774455587207187,-1.0194043667238433
2007.8219047619048,65.0704650739743,241.0,2008.8760456202037,2.566940444679276,276.0,0.3180614554891598,-1.1617402742662133
2007.5142857142857,69.1119332657385,325.0,2008.70357859657,2.8980533579778163,273.0,0.4492184445505584,-0.3560864311183427
2043.1304761904762,98.26265639921601,421.0,2045.49204163227,2.84008187934816,286.0,-0.07335217111554437,-0.7751161826490338
2004.554761904762,188.5006690683856,640.0,2013.3981960144608,2.4603311519825706,264.0,0.6852702898094887,-0.9263864600315155
1942.2047619047619,158.8115174430443,556.0,1948.6868489416393,2.498080011696192,264.0,0.6215794436410029,-0.9959802104657123
2030.8095238095239,80.46330074288471,335.0,2032.4029287427,2.7087562823329088,276.0,0.8325898931499194,-0.3381122737564697
2001.767619047619,174.52854125723587,577.0,2009.3615434711974,2.406063807650969,267.0,0.4853026799282568,-1.2744647885972675
1989.1209523809523,87.48766247195805,338.0,1991.0440111373014,2.701370736888164,274.0,0.6003730212915566,-0.8017435476491594
2024.032380952381,228.14397271198567,755.0,2036.8497125287795,2.465082538868812,259.0,0.4482156691301678,-1.2239241254618727
2117.3557142857144,166.14793649239306,567.0,2123.864486641991,2.523304268386551,266.0,0.2423450971540123,-1.3176993653971216
1972.7704761904763,109.95931145639153,397.0,1975.8325844829976,2.5214766034363594,258.0,0.11715005274664449,-1.2622757352391745
2009.7833333333333,159.68691453780167,687.0,2016.1172975844058,2.8747042114700716,281.0,0.25103189356464933,-0.6962325461533094
